   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 8.00782, -9.02443, 40.1614, 41.9345, 3.11059, 42.0497, 82.211, 1.88833, 3.7736, 1.8868
px, py, pz, p1, m1, e, num, den, ln, y: -21.8578, 9.6765, 8.71837, 25.4442, 3.07949, 25.6299, 34.3483, 16.9115, 0.708556, 0.354278
px, py, pz, p1, m1, e, num, den, ln, y: -9.13605, 2.03561, -11.7948, 15.0575, 3.12224, 15.3778, 3.583, 27.1726, -2.02601, -1.013
px, py, pz, p1, m1, e, num, den, ln, y: 4.22741, -7.11886, -7.77639, 11.3588, 3.09176, 11.772, 3.99563, 19.5484, -1.58769, -0.793847
px, py, pz, p1, m1, e, num, den, ln, y: -9.77867, -5.19051, 3.80637, 11.7069, 3.08894, 12.1076, 15.914, 8.30122, 0.650794, 0.325397
px, py, pz, p1, m1, e, num, den, ln, y: 8.98881, -4.91309, 6.55929, 12.1639, 3.10136, 12.5531, 19.1124, 5.99379, 1.15961, 0.579806
px, py, pz, p1, m1, e, num, den, ln, y: 12.1506, 1.56523, -0.482693, 12.2605, 3.0898, 12.6439, 12.1612, 13.1266, -0.0763892, -0.0381946
px, py, pz, p1, m1, e, num, den, ln, y: 9.41322, 0.56994, -0.731913, 9.45882, 3.06658, 9.9435, 9.21158, 10.6754, -0.147481, -0.0737405
px, py, pz, p1, m1, e, num, den, ln, y: 8.17522, -0.520136, 1.5047, 8.3288, 3.10354, 8.88824, 10.3929, 7.38355, 0.341872, 0.170936
px, py, pz, p1, m1, e, num, den, ln, y: 4.67666, 10.9393, -23.8851, 26.684, 3.10508, 26.8641, 2.97898, 50.7492, -2.83531, -1.41766
px, py, pz, p1, m1, e, num, den, ln, y: 23.4522, 9.63795, 26.2505, 36.4964, 3.15501, 36.6325, 62.883, 10.382, 1.8012, 0.900602
px, py, pz, p1, m1, e, num, den, ln, y: 11.9502, 5.79413, -7.72884, 15.366, 3.07804, 15.6713, 7.94244, 23.4001, -1.08052, -0.54026
px, py, pz, p1, m1, e, num, den, ln, y: 6.70914, -12.1513, -32.9762, 35.7784, 3.05119, 35.9083, 2.93212, 68.8845, -3.15671, -1.57835
px, py, pz, p1, m1, e, num, den, ln, y: 6.13028, -17.4503, -20.2001, 27.3887, 3.14743, 27.5689, 7.3688, 47.7691, -1.86912, -0.934562
px, py, pz, p1, m1, e, num, den, ln, y: -7.8294, 1.99836, -32.8964, 33.8742, 3.13336, 34.0189, 1.12248, 66.9152, -4.08789, -2.04394
px, py, pz, p1, m1, e, num, den, ln, y: -4.44688, 12.2956, -14.2172, 19.3154, 3.14841, 19.5703, 5.35316, 33.7875, -1.8424, -0.921201
px, py, pz, p1, m1, e, num, den, ln, y: -1.866, -10.1224, -45.7379, 46.8818, 3.10266, 46.9843, 1.24643, 92.7222, -4.30933, -2.15466
px, py, pz, p1, m1, e, num, den, ln, y: 12.6754, -24.4466, 69.8575, 75.0891, 2.97502, 75.148, 145.006, 5.29051, 3.31086, 1.65543
px, py, pz, p1, m1, e, num, den, ln, y: 12.0389, -6.43199, 26.407, 29.726, 3.09961, 29.8872, 56.2942, 3.48018, 2.78351, 1.39175
px, py, pz, p1, m1, e, num, den, ln, y: -11.7682, 1.20922, 0.209806, 11.8321, 3.08619, 12.2279, 12.4377, 12.0181, 0.0343191, 0.0171596
px, py, pz, p1, m1, e, num, den, ln, y: 8.86658, -7.55703, 11.1771, 16.1448, 3.10667, 16.441, 27.6181, 5.26381, 1.65762, 0.828808
px, py, pz, p1, m1, e, num, den, ln, y: 13.1275, 7.40659, 23.6864, 28.0755, 3.08053, 28.244, 51.9305, 4.55762, 2.43311, 1.21655
px, py, pz, p1, m1, e, num, den, ln, y: 12.5384, -8.35114, 43.0837, 45.6417, 3.10025, 45.7468, 88.8305, 2.6631, 3.50724, 1.75362
px, py, pz, p1, m1, e, num, den, ln, y: 4.65296, 11.4244, 18.3517, 22.1122, 3.09998, 22.3285, 40.6802, 3.97682, 2.32526, 1.16263
px, py, pz, p1, m1, e, num, den, ln, y: 7.09078, -7.3906, 21.7543, 24.0448, 3.10178, 24.244, 45.9983, 2.48968, 2.91645, 1.45822
px, py, pz, p1, m1, e, num, den, ln, y: -15.4945, -3.11534, 36.4596, 39.7378, 3.15249, 39.8626, 76.3223, 3.40296, 3.11032, 1.55516
px, py, pz, p1, m1, e, num, den, ln, y: 6.13825, -6.54308, 29.0414, 30.3956, 2.97875, 30.5413, 59.5827, 1.49982, 3.68202, 1.84101
px, py, pz, p1, m1, e, num, den, ln, y: 12.6799, -3.8717, -9.6556, 16.4012, 3.07111, 16.6863, 7.03067, 26.3419, -1.32088, -0.660439
px, py, pz, p1, m1, e, num, den, ln, y: -6.62332, -9.62351, -14.4883, 18.6116, 3.07733, 18.8643, 4.37598, 33.3526, -2.03101, -1.0155
px, py, pz, p1, m1, e, num, den, ln, y: 9.85353, 18.1748, -31.4288, 37.6189, 3.12844, 37.7488, 6.32001, 69.1776, -2.39296, -1.19648
px, py, pz, p1, m1, e, num, den, ln, y: -10.0319, -0.920267, -3.62652, 10.7069, 3.08143, 11.1415, 7.51495, 14.768, -0.675568, -0.337784
px, py, pz, p1, m1, e, num, den, ln, y: -11.1617, -11.7775, -72.114, 73.917, 3.06626, 73.9806, 1.86657, 146.095, -4.36015, -2.18008
px, py, pz, p1, m1, e, num, den, ln, y: -8.77407, -5.7088, -13.8006, 17.3214, 3.02692, 17.5839, 3.78329, 31.3846, -2.11572, -1.05786
px, py, pz, p1, m1, e, num, den, ln, y: 8.43077, -17.3407, 5.00896, 19.9215, 3.08916, 20.1596, 25.1686, 15.1507, 0.507552, 0.253776
px, py, pz, p1, m1, e, num, den, ln, y: 13.7913, 0.850878, 0.254087, 13.8199, 3.1162, 14.1668, 14.4209, 13.9128, 0.0358745, 0.0179372
px, py, pz, p1, m1, e, num, den, ln, y: 1.4948, 12.7459, -12.7747, 18.1076, 3.0947, 18.3702, 5.59548, 31.1449, -1.71669, -0.858346
px, py, pz, p1, m1, e, num, den, ln, y: 7.85734, 5.14752, 3.23952, 9.93626, 3.08071, 10.4029, 13.6424, 7.16337, 0.644202, 0.322101
px, py, pz, p1, m1, e, num, den, ln, y: -4.92975, -9.78732, 14.0976, 17.856, 3.11916, 18.1264, 32.224, 4.02878, 2.07925, 1.03962
px, py, pz, p1, m1, e, num, den, ln, y: 6.95349, -3.39951, 6.03373, 9.81395, 3.08658, 10.2879, 16.3216, 4.25415, 1.34459, 0.672297
px, py, pz, p1, m1, e, num, den, ln, y: 13.466, 1.21056, -3.35672, 13.9308, 3.08057, 14.2673, 10.9106, 17.624, -0.479529, -0.239764
px, py, pz, p1, m1, e, num, den, ln, y: 14.6979, -6.21875, -10.9532, 19.3565, 3.06954, 19.5983, 8.64514, 30.5515, -1.26242, -0.631208
px, py, pz, p1, m1, e, num, den, ln, y: 8.48407, -10.5202, 3.6648, 14.003, 3.07183, 14.336, 18.0008, 10.6712, 0.522869, 0.261434
px, py, pz, p1, m1, e, num, den, ln, y: 5.57701, -7.03376, 6.42329, 11.0379, 3.12602, 11.472, 17.8953, 5.04874, 1.2654, 0.6327
px, py, pz, p1, m1, e, num, den, ln, y: 9.43469, -1.93427, 3.4462, 10.2289, 3.07948, 10.6824, 14.1286, 7.23623, 0.669102, 0.334551
px, py, pz, p1, m1, e, num, den, ln, y: 5.83251, -7.90385, 36.1761, 37.486, 3.12961, 37.6164, 73.7925, 1.44031, 3.9364, 1.9682
px, py, pz, p1, m1, e, num, den, ln, y: 14.967, 4.78571, 44.2276, 46.9361, 3.10443, 47.0387, 91.2663, 2.81101, 3.48024, 1.74012
px, py, pz, p1, m1, e, num, den, ln, y: -11.8886, 10.3051, 50.491, 52.8854, 3.08262, 52.9752, 103.466, 2.48425, 3.72928, 1.86464
px, py, pz, p1, m1, e, num, den, ln, y: 8.72944, 6.7222, 4.73234, 11.9911, 3.10437, 12.3864, 17.1188, 7.65408, 0.804936, 0.402468
