   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 0.156113, -14.3371, -8.83979, 16.844, 1.08183, 16.8787, 8.03888, 25.7184, -1.16292, -0.58146
px, py, pz, p1, m1, e, num, den, ln, y: 40.743, -45.3563, 56.9368, 83.4205, 3.66659, 83.5011, 140.438, 26.5643, 1.6652, 0.832598
px, py, pz, p1, m1, e, num, den, ln, y: -12.834, 9.15285, -19.7031, 25.2329, 1.69659, 25.2899, 5.58675, 44.993, -2.08611, -1.04305
px, py, pz, p1, m1, e, num, den, ln, y: 2.20479, 8.94151, 34.0413, 35.265, 1.81972, 35.3119, 69.3532, 1.27064, 3.99969, 1.99984
px, py, pz, p1, m1, e, num, den, ln, y: -5.34963, 6.9633, 15.9233, 18.184, 0.349185, 18.1873, 34.1106, 2.26404, 2.71246, 1.35623
px, py, pz, p1, m1, e, num, den, ln, y: 16.0877, -14.8368, 14.6385, 26.3293, 0.306757, 26.3311, 40.9696, 11.6926, 1.25388, 0.626938
px, py, pz, p1, m1, e, num, den, ln, y: -7.99869, -11.972, -19.4806, 24.224, 1.86233, 24.2955, 4.81487, 43.7761, -2.20738, -1.10369
px, py, pz, p1, m1, e, num, den, ln, y: 8.71997, 6.8217, 11.3499, 15.8554, 2.8749, 16.1139, 27.4639, 4.76402, 1.75178, 0.875889
px, py, pz, p1, m1, e, num, den, ln, y: 19.0908, -21.5481, 98.641, 102.756, 2.94013, 102.798, 201.439, 4.1572, 3.88065, 1.94032
px, py, pz, p1, m1, e, num, den, ln, y: -14.8454, 4.06761, -19.9683, 25.2124, 1.06437, 25.2348, 5.26651, 45.2032, -2.1498, -1.0749
px, py, pz, p1, m1, e, num, den, ln, y: -11.9122, 12.8315, -25.2986, 30.7663, 0.941212, 30.7807, 5.48211, 56.0792, -2.32528, -1.16264
px, py, pz, p1, m1, e, num, den, ln, y: 1.75116, 15.8962, 12.0973, 20.0525, 1.08477, 20.0818, 32.1791, 7.98446, 1.39382, 0.696911
px, py, pz, p1, m1, e, num, den, ln, y: 28.2015, -75.0882, 7.03841, 80.5177, 2.12581, 80.5458, 87.5842, 73.5074, 0.175215, 0.0876074
px, py, pz, p1, m1, e, num, den, ln, y: -13.0949, 0.604074, -1.15132, 13.1593, 0.973642, 13.1953, 12.0439, 14.3466, -0.17495, -0.087475
px, py, pz, p1, m1, e, num, den, ln, y: -15.3962, 9.73644, -18.0299, 25.6304, 0.32277, 25.6324, 7.60255, 43.6623, -1.748, -0.874001
px, py, pz, p1, m1, e, num, den, ln, y: -7.44015, -20.561, -19.4485, 29.2636, 2.0854, 29.3378, 9.88924, 48.7863, -1.596, -0.798001
px, py, pz, p1, m1, e, num, den, ln, y: -5.00082, -1.16198, 24.3495, 24.8849, 6.30161, 25.6703, 50.0198, 1.32085, 3.63415, 1.81707
px, py, pz, p1, m1, e, num, den, ln, y: 10.4254, -2.29829, 0.903756, 10.7139, 2.2167, 10.9408, 11.8446, 10.0371, 0.165585, 0.0827927
px, py, pz, p1, m1, e, num, den, ln, y: 16.3923, -8.42723, 21.1652, 28.0659, 0.33571, 28.0679, 49.2331, 6.90266, 1.96466, 0.98233
px, py, pz, p1, m1, e, num, den, ln, y: 7.47718, 21.552, -6.83282, 23.8135, 1.252, 23.8464, 17.0136, 30.6792, -0.589573, -0.294786
px, py, pz, p1, m1, e, num, den, ln, y: -12.8347, 13.3827, 97.1754, 98.9286, 0.416409, 98.9295, 196.105, 1.75416, 4.71666, 2.35833
px, py, pz, p1, m1, e, num, den, ln, y: 10.5126, -5.26634, 12.365, 17.0628, 0.847401, 17.0839, 29.4488, 4.71891, 1.83108, 0.915538
px, py, pz, p1, m1, e, num, den, ln, y: 27.0855, 3.3338, -16.8636, 32.0799, 1.18105, 32.1016, 15.238, 48.9652, -1.16732, -0.583658
px, py, pz, p1, m1, e, num, den, ln, y: -9.53427, 28.7188, 82.3312, 87.716, 0.837917, 87.72, 170.051, 5.3888, 3.45178, 1.72589
px, py, pz, p1, m1, e, num, den, ln, y: 0.570961, 13.6694, 42.7237, 44.8608, 1.96961, 44.904, 87.6277, 2.18035, 3.69361, 1.84681
px, py, pz, p1, m1, e, num, den, ln, y: 11.858, -18.7525, 14.6886, 26.6087, 1.93503, 26.679, 41.3676, 11.9904, 1.23839, 0.619196
px, py, pz, p1, m1, e, num, den, ln, y: -2.45906, 32.7815, 47.6161, 57.8616, 1.38273, 57.8781, 105.494, 10.262, 2.33021, 1.1651
px, py, pz, p1, m1, e, num, den, ln, y: 9.26358, -19.0261, 20.9437, 29.7732, 3.10866, 29.9351, 50.8788, 8.9914, 1.73318, 0.866589
px, py, pz, p1, m1, e, num, den, ln, y: 9.76336, 6.34281, 54.2158, 55.4519, 1.6888, 55.4776, 109.693, 1.26176, 4.46518, 2.23259
px, py, pz, p1, m1, e, num, den, ln, y: 2.37505, 6.53911, 5.25194, 8.71686, 5.92738, 10.5412, 15.7932, 5.28929, 1.09389, 0.546947
px, py, pz, p1, m1, e, num, den, ln, y: 8.04986, -9.11548, -37.7301, 39.6415, 0.560645, 39.6455, 1.91541, 77.3756, -3.69874, -1.84937
px, py, pz, p1, m1, e, num, den, ln, y: -4.52134, -7.47153, 14.8082, 17.1916, 1.89044, 17.2952, 32.1034, 2.48696, 2.5579, 1.27895
px, py, pz, p1, m1, e, num, den, ln, y: 18.6049, -17.6757, -83.858, 87.6969, 2.46334, 87.7315, 3.87345, 171.589, -3.79096, -1.89548
px, py, pz, p1, m1, e, num, den, ln, y: -11.3486, -23.1391, -3.47233, 26.0051, 1.78065, 26.066, 22.5937, 29.5383, -0.268019, -0.134009
px, py, pz, p1, m1, e, num, den, ln, y: 15.8343, 7.27371, -16.4906, 23.9911, 0.953879, 24.0101, 7.51943, 40.5007, -1.68383, -0.841914
px, py, pz, p1, m1, e, num, den, ln, y: -7.39798, -7.49828, -43.1015, 44.3699, 1.60176, 44.3988, 1.29737, 87.5003, -4.21131, -2.10565
px, py, pz, p1, m1, e, num, den, ln, y: 7.88758, 24.6602, -30.6759, 40.1416, 1.6909, 40.1772, 9.50133, 70.853, -2.00918, -1.00459
px, py, pz, p1, m1, e, num, den, ln, y: -26.5896, 28.3043, -82.3123, 91.0135, 1.03067, 91.0194, 8.70703, 173.332, -2.99108, -1.49554
px, py, pz, p1, m1, e, num, den, ln, y: 13.3778, -26.7672, 100.263, 104.633, 2.98219, 104.676, 204.939, 4.41273, 3.83822, 1.91911
