   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /home/bmichlin/JpsiEstimation/CMSSW_7_4_12_patch4/src/MuJetAnalysis/AnalysisRun2/scripts/JpsiAnalysis/SPS/./jpsiPlots_C.so
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 8.14076, -6.45225, -15.7629, 18.8778, 3.08453, 19.1282, 3.36527, 34.8911, -2.33872, -1.16936
px, py, pz, p1, m1, e, num, den, ln, y: 7.98488, -1.93255, -8.68245, 11.9532, 3.11041, 12.3512, 3.66877, 21.0337, -1.74627, -0.873134
px, py, pz, p1, m1, e, num, den, ln, y: -18.5529, -5.18049, 56.3983, 59.5971, 3.14243, 59.6799, 116.078, 3.28161, 3.56593, 1.78296
px, py, pz, p1, m1, e, num, den, ln, y: 6.449, -19.3147, 1.21821, 20.3993, 3.09171, 20.6323, 21.8505, 19.414, 0.118226, 0.0591128
px, py, pz, p1, m1, e, num, den, ln, y: 8.79733, 9.73632, 6.55818, 14.6697, 3.09337, 14.9923, 21.5504, 8.43407, 0.938116, 0.469058
px, py, pz, p1, m1, e, num, den, ln, y: -2.43848, 15.9058, -62.557, 64.5935, 3.11912, 64.6688, 2.11174, 127.226, -4.09845, -2.04923
px, py, pz, p1, m1, e, num, den, ln, y: -1.63192, 9.17765, 0.0786755, 9.32194, 3.09675, 9.82285, 9.90153, 9.74417, 0.0160192, 0.00800961
px, py, pz, p1, m1, e, num, den, ln, y: -12.525, 1.1707, 0.491423, 12.5892, 3.10207, 12.9658, 13.4572, 12.4743, 0.0758395, 0.0379198
px, py, pz, p1, m1, e, num, den, ln, y: -9.48077, 6.64948, 23.846, 26.5091, 3.09816, 26.6895, 50.5355, 2.84353, 2.87763, 1.43881
px, py, pz, p1, m1, e, num, den, ln, y: -5.01029, -12.4365, 5.98754, 14.684, 3.09329, 15.0063, 20.9938, 9.01876, 0.844922, 0.422461
px, py, pz, p1, m1, e, num, den, ln, y: 15.2032, 4.59236, 62.2629, 64.2565, 3.08083, 64.3303, 126.593, 2.0674, 4.11469, 2.05734
